date,temperature,precipitation,is_weekend,is_hot,is_dry,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,total_units_sold
2022-01-01,-1.0,0.1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,29.0
2022-01-02,-4.3,0.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,31.0
2022-01-03,0.3,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,27.0
2022-01-04,0.8,6.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18.0
2022-01-05,-6.4,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,41.0
2022-01-06,-4.7,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,21.0
2022-01-07,-1.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.0
2022-01-08,-2.1,0.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,33.0
2022-01-09,-1.3,0.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,26.0
2022-01-10,-3.3,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,32.0
2022-01-11,1.1,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,22.0
2022-01-12,1.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,16.0
2022-01-13,-0.7,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,23.0
2022-01-14,2.0,1.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,18.0
2022-01-15,0.5,0.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,28.0
2022-01-16,-2.7,0.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,32.0
2022-01-17,0.4,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,27.0
2022-01-18,-2.8,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12.0
2022-01-19,1.9,2.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15.0
2022-01-20,-0.3,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,19.0
2022-01-21,-0.5,12.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0
2022-01-22,-1.6,4.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,8.0
