date,flavor,temperature,precipitation,units_sold
2022-01-01,vanilla,-1.0,0.1,13
2022-01-01,chocolate,-1.0,0.1,11
2022-01-01,strawberry,-1.0,0.1,4
2022-01-01,mango,-1.0,0.1,1
2022-01-02,vanilla,-4.3,0.0,11
2022-01-02,chocolate,-4.3,0.0,11
2022-01-02,strawberry,-4.3,0.0,9
2022-01-02,mango,-4.3,0.0,0
2022-01-03,vanilla,0.3,0.0,9
2022-01-03,chocolate,0.3,0.0,12
2022-01-03,strawberry,0.3,0.0,6
2022-01-03,mango,0.3,0.0,0
2022-01-04,vanilla,0.8,6.8,4
2022-01-04,chocolate,0.8,6.8,6
2022-01-04,strawberry,0.8,6.8,7
2022-01-04,mango,0.8,6.8,1
2022-01-05,vanilla,-6.4,0.0,11
2022-01-05,chocolate,-6.4,0.0,22
2022-01-05,strawberry,-6.4,0.0,7
2022-01-05,mango,-6.4,0.0,1
2022-01-06,vanilla,-4.7,0.0,10
2022-01-06,chocolate,-4.7,0.0,6
2022-01-06,strawberry,-4.7,0.0,5
2022-01-06,mango,-4.7,0.0,0
2022-01-07,vanilla,-1.0,11.0,3
2022-01-07,chocolate,-1.0,11.0,2
2022-01-07,strawberry,-1.0,11.0,2
2022-01-07,mango,-1.0,11.0,2
2022-01-08,vanilla,-2.1,0.0,13
2022-01-08,chocolate,-2.1,0.0,13
2022-01-08,strawberry,-2.1,0.0,5
2022-01-08,mango,-2.1,0.0,2
2022-01-09,vanilla,-1.3,0.0,12
2022-01-09,chocolate,-1.3,0.0,6
2022-01-09,strawberry,-1.3,0.0,7
2022-01-09,mango,-1.3,0.0,1
2022-01-10,vanilla,-3.3,0.0,10
2022-01-10,chocolate,-3.3,0.0,14
2022-01-10,strawberry,-3.3,0.0,7
2022-01-10,mango,-3.3,0.0,1
2022-01-11,vanilla,1.1,0.0,8
2022-01-11,chocolate,1.1,0.0,8
2022-01-11,strawberry,1.1,0.0,5
2022-01-11,mango,1.1,0.0,1
2022-01-12,vanilla,1.0,0.0,7
2022-01-12,chocolate,1.0,0.0,3
2022-01-12,strawberry,1.0,0.0,5
2022-01-12,mango,1.0,0.0,1
2022-01-13,vanilla,-0.7,0.0,7
2022-01-13,chocolate,-0.7,0.0,9
2022-01-13,strawberry,-0.7,0.0,7
2022-01-13,mango,-0.7,0.0,0
2022-01-14,vanilla,2.0,1.8,1
2022-01-14,chocolate,2.0,1.8,7
2022-01-14,strawberry,2.0,1.8,7
2022-01-14,mango,2.0,1.8,3
2022-01-15,vanilla,0.5,0.0,13
2022-01-15,chocolate,0.5,0.0,7
2022-01-15,strawberry,0.5,0.0,7
2022-01-15,mango,0.5,0.0,1
2022-01-16,vanilla,-2.7,0.0,10
2022-01-16,chocolate,-2.7,0.0,16
2022-01-16,strawberry,-2.7,0.0,5
2022-01-16,mango,-2.7,0.0,1
2022-01-17,vanilla,0.4,0.0,9
2022-01-17,chocolate,0.4,0.0,14
2022-01-17,strawberry,0.4,0.0,4
2022-01-17,mango,0.4,0.0,0
2022-01-18,vanilla,-2.8,0.0,0
2022-01-18,chocolate,-2.8,0.0,8
2022-01-18,strawberry,-2.8,0.0,4
2022-01-18,mango,-2.8,0.0,0
2022-01-19,vanilla,1.9,2.4,6
2022-01-19,chocolate,1.9,2.4,8
2022-01-19,strawberry,1.9,2.4,0
2022-01-19,mango,1.9,2.4,1
2022-01-20,vanilla,-0.3,0.0,4
2022-01-20,chocolate,-0.3,0.0,12
2022-01-20,strawberry,-0.3,0.0,2
2022-01-20,mango,-0.3,0.0,1
2022-01-21,vanilla,-0.5,12.4,1
2022-01-21,chocolate,-0.5,12.4,3
2022-01-21,strawberry,-0.5,12.4,2
2022-01-21,mango,-0.5,12.4,0
2022-01-22,vanilla,-1.6,4.6,1
2022-01-22,chocolate,-1.6,4.6,3
2022-01-22,strawberry,-1.6,4.6,3
2022-01-22,mango,-1.6,4.6,1
2022-01-23,vanilla,3.3,0.0,8
2022-01-23,chocolate,3.3,0.0,16
2022-01-23,strawberry,3.3,0.0,7
2022-01-23,mango,3.3,0.0,0
2022-01-24,vanilla,-0.1,17.9,1
2022-01-24,chocolate,-0.1,17.9,2
2022-01-24,strawberry,-0.1,17.9,1
2022-01-24,mango,-0.1,17.9,2
2022-01-25,vanilla,-0.6,1.3,4
2022-01-25,chocolate,-0.6,1.3,9
2022-01-25,strawberry,-0.6,1.3,6
2022-01-25,mango,-0.6,1.3,1
2022-01-26,vanilla,-0.3,0.6,6
2022-01-26,chocolate,-0.3,0.6,4
2022-01-26,strawberry,-0.3,0.6,4
2022-01-26,mango,-0.3,0.6,0
2022-01-27,vanilla,2.0,0.0,2
2022-01-27,chocolate,2.0,0.0,8
2022-01-27,strawberry,2.0,0.0,3
2022-01-27,mango,2.0,0.0,1
2022-01-28,vanilla,1.8,0.0,10
2022-01-28,chocolate,1.8,0.0,7
2022-01-28,strawberry,1.8,0.0,5
2022-01-28,mango,1.8,0.0,0
2022-01-29,vanilla,2.0,24.9,0
2022-01-29,chocolate,2.0,24.9,1
2022-01-29,strawberry,2.0,24.9,1
2022-01-29,mango,2.0,24.9,0
